id,cell_lines,drug,label
98,SIDM00990,5-Fluorouracil,1
99,SIDM00982,5-Fluorouracil,1
100,SIDM00088,5-Fluorouracil,1
101,SIDM00272,5-Fluorouracil,1
102,SIDM01034,5-Fluorouracil,1
103,SIDM00946,5-Fluorouracil,1
104,SIDM01179,5-Fluorouracil,1
105,SIDM01131,5-Fluorouracil,1
106,SIDM00441,5-Fluorouracil,1
107,SIDM00391,5-Fluorouracil,1
108,SIDM01154,5-Fluorouracil,1
109,SIDM00457,5-Fluorouracil,1
110,SIDM01087,5-Fluorouracil,1
111,SIDM01085,5-Fluorouracil,1
112,SIDM00327,5-Fluorouracil,1
113,SIDM01176,5-Fluorouracil,1
114,SIDM00330,5-Fluorouracil,1
115,SIDM00785,5-Fluorouracil,1
116,SIDM01058,5-Fluorouracil,1
117,SIDM00900,5-Fluorouracil,1
118,SIDM01023,5-Fluorouracil,1
119,SIDM00962,A-443654,1
120,SIDM00312,A-443654,1
121,SIDM00671,A-443654,1
122,SIDM00946,A-443654,1
123,SIDM00877,A-443654,1
124,SIDM00429,A-443654,1
125,SIDM00661,A-443654,1
126,SIDM00438,A-443654,1
127,SIDM00403,A-443654,1
128,SIDM00332,A-443654,1
129,SIDM00431,A-443654,1
130,SIDM00886,A-443654,1
131,SIDM00417,A-443654,1
132,SIDM00949,A-443654,1
133,SIDM00641,A-443654,1
134,SIDM01047,A-443654,1
135,SIDM00413,A-443654,1
136,SIDM00415,A-443654,1
137,SIDM00330,A-443654,1
138,SIDM00900,A-443654,1
139,SIDM00308,A-443654,1
140,SIDM00994,A-443654,1
141,SIDM01071,A-443654,1
142,SIDM00985,A-443654,1
143,SIDM01048,A-443654,1
144,SIDM00896,A-443654,1
145,SIDM00829,A-443654,1
146,SIDM00413,A-770041,1
147,SIDM01036,A-770041,1
148,SIDM00661,A-770041,1
149,SIDM00429,A-770041,1
150,SIDM00391,A-770041,1
151,SIDM00327,A-770041,1
152,SIDM00312,A-770041,1
153,SIDM00287,A-770041,1
154,SIDM01004,A-770041,1
155,SIDM00907,A-770041,1
156,SIDM00396,A-770041,1
157,SIDM00424,A-770041,1
158,SIDM00462,A-770041,1
159,SIDM00286,A-770041,1
160,SIDM01058,A-770041,1
161,SIDM01003,A-770041,1
162,SIDM00338,A-770041,1
163,SIDM00641,A-770041,1
164,SIDM00417,A-770041,1
165,SIDM00433,A-770041,1
166,SIDM01111,A-770041,1
167,SIDM01001,A-770041,1
168,SIDM00981,A-770041,1
169,SIDM01172,A-770041,1
170,SIDM00087,A-770041,1
171,SIDM01086,A-770041,1
172,SIDM00438,A-770041,1
173,SIDM00121,A-770041,1
174,SIDM00419,A-770041,1
175,SIDM00458,A-770041,1
176,SIDM00993,A-770041,1
177,SIDM00515,A-770041,1
178,SIDM00388,A-770041,1
179,SIDM00146,A-83-01,1
180,SIDM01036,A-83-01,1
181,SIDM00392,A-83-01,1
182,SIDM00421,A-83-01,1
183,SIDM00441,A-83-01,1
184,SIDM00935,A-83-01,1
185,SIDM00455,A-83-01,1
186,SIDM01012,A-83-01,1
187,SIDM01176,A-83-01,1
188,SIDM01034,A-83-01,1
189,SIDM00886,A-83-01,1
190,SIDM00410,A-83-01,1
191,SIDM01019,A-83-01,1
192,SIDM00422,A-83-01,1
193,SIDM00429,A-83-01,1
194,SIDM00961,A-83-01,1
195,SIDM01103,A-83-01,1
196,SIDM00931,A-83-01,1
197,SIDM00867,A-83-01,1
198,SIDM00928,A-83-01,1
199,SIDM00340,A-83-01,1
200,SIDM00336,A-83-01,1
201,SIDM01073,A-83-01,1
202,SIDM00957,A-83-01,1
203,SIDM00994,A-83-01,1
204,SIDM00927,A-83-01,1
205,SIDM00284,A-83-01,1
206,SIDM00449,A-83-01,1
207,SIDM00463,A-83-01,1
208,SIDM01048,A-83-01,1
209,SIDM01042,A-83-01,1
210,SIDM00988,A-83-01,1
211,SIDM00580,A-83-01,1
212,SIDM00953,A-83-01,1
213,SIDM01024,A-83-01,1
214,SIDM00419,A-83-01,1
215,SIDM00990,A-83-01,1
216,SIDM00798,A-83-01,1
217,SIDM00628,A-83-01,1
218,SIDM01052,A-83-01,1
219,SIDM00227,A-83-01,1
220,SIDM00900,A-83-01,1
221,SIDM00460,A-83-01,1
222,SIDM00789,A-83-01,1
223,SIDM00594,A-83-01,1
224,SIDM01031,A-83-01,1
225,SIDM01029,A-83-01,1
226,SIDM00335,A-83-01,1
227,SIDM00962,A-83-01,1
228,SIDM00391,A-83-01,1
229,SIDM00406,A-83-01,1
230,SIDM01018,A-83-01,1
231,SIDM01131,A-83-01,1
232,SIDM01062,A-83-01,1
233,SIDM01013,ACY-1215,1
234,SIDM00907,ACY-1215,1
235,SIDM00389,ACY-1215,1
236,SIDM00411,ACY-1215,1
237,SIDM01087,ACY-1215,1
238,SIDM00421,ACY-1215,1
239,SIDM01131,ACY-1215,1
240,SIDM01030,ACY-1215,1
241,SIDM00339,ACY-1215,1
242,SIDM00985,ACY-1215,1
243,SIDM01048,ACY-1215,1
244,SIDM00335,ACY-1215,1
245,SIDM00329,ACY-1215,1
246,SIDM00479,ACY-1215,1
247,SIDM01218,ACY-1215,1
248,SIDM00441,ACY-1215,1
249,SIDM00433,ACY-1215,1
250,SIDM00995,ACY-1215,1
251,SIDM00227,ACY-1215,1
252,SIDM01001,ACY-1215,1
253,SIDM00327,ACY-1215,1
254,SIDM00706,ACY-1215,1
255,SIDM00285,ACY-1215,1
256,SIDM00462,ACY-1215,1
257,SIDM00942,ACY-1215,1
258,SIDM00927,ACY-1215,1
259,SIDM00402,ACY-1215,1
260,SIDM00097,ACY-1215,1
261,SIDM01059,ACY-1215,1
262,SIDM00394,ACY-1215,1
263,SIDM00828,ACY-1215,1
264,SIDM01027,ACY-1215,1
265,SIDM01060,ACY-1215,1
266,SIDM00454,ACY-1215,1
267,SIDM00145,ACY-1215,1
268,SIDM01103,ACY-1215,1
269,SIDM00807,ACY-1215,1
270,SIDM00343,ACY-1215,1
271,SIDM00340,ACY-1215,1
272,SIDM00148,ACY-1215,1
273,SIDM00867,ACY-1215,1
274,SIDM00789,ACY-1215,1
275,SIDM00387,ACY-1215,1
276,SIDM00657,ACY-1215,1
277,SIDM00423,ACY-1215,1
278,SIDM00412,ACY-1215,1
279,SIDM00798,ACY-1215,1
280,SIDM01111,ACY-1215,1
281,SIDM01042,ACY-1215,1
282,SIDM01051,ACY-1215,1
283,SIDM00896,ACY-1215,1
284,SIDM00413,ACY-1215,1
285,SIDM00594,ACY-1215,1
286,SIDM00287,ACY-1215,1
287,SIDM00930,ACY-1215,1
288,SIDM00415,ACY-1215,1
289,SIDM01089,AGI-6780,1
290,SIDM00958,AGI-6780,1
291,SIDM00405,AGI-6780,1
292,SIDM00447,AGI-6780,1
293,SIDM00706,AGI-6780,1
294,SIDM00342,AGI-6780,1
295,SIDM00313,AGI-6780,1
296,SIDM00433,AGI-6780,1
297,SIDM01076,AGI-6780,1
298,SIDM00458,AGI-6780,1
299,SIDM00447,AICA Ribonucleotide,1
300,SIDM00406,AICA Ribonucleotide,1
301,SIDM00952,AICA Ribonucleotide,1
302,SIDM00345,AICA Ribonucleotide,1
303,SIDM00340,AICA Ribonucleotide,1
304,SIDM01131,AICA Ribonucleotide,1
305,SIDM00810,AICA Ribonucleotide,1
306,SIDM00391,AICA Ribonucleotide,1
307,SIDM00928,AICA Ribonucleotide,1
308,SIDM00785,AICA Ribonucleotide,1
309,SIDM00339,AICA Ribonucleotide,1
310,SIDM00949,AICA Ribonucleotide,1
311,SIDM00982,AICA Ribonucleotide,1
312,SIDM00985,AICA Ribonucleotide,1
313,SIDM01072,AICA Ribonucleotide,1
314,SIDM01018,AICA Ribonucleotide,1
315,SIDM01076,AICA Ribonucleotide,1
316,SIDM00455,AICA Ribonucleotide,1
317,SIDM01056,AICA Ribonucleotide,1
318,SIDM00420,AICA Ribonucleotide,1
319,SIDM01082,AICA Ribonucleotide,1
320,SIDM00996,AICA Ribonucleotide,1
321,SIDM00333,AICA Ribonucleotide,1
322,SIDM00431,AICA Ribonucleotide,1
323,SIDM01066,AICA Ribonucleotide,1
324,SIDM00931,AICA Ribonucleotide,1
325,SIDM01049,AICA Ribonucleotide,1
326,SIDM01001,AICA Ribonucleotide,1
327,SIDM00706,AICA Ribonucleotide,1
328,SIDM00989,AICA Ribonucleotide,1
329,SIDM00963,AICA Ribonucleotide,1
330,SIDM01055,AICA Ribonucleotide,1
331,SIDM01087,AICA Ribonucleotide,1
332,SIDM00146,AICA Ribonucleotide,1
333,SIDM00499,AICA Ribonucleotide,1
334,SIDM00434,AICA Ribonucleotide,1
335,SIDM01028,AICA Ribonucleotide,1
336,SIDM01191,AICA Ribonucleotide,1
337,SIDM00981,AICA Ribonucleotide,1
338,SIDM01060,AICA Ribonucleotide,1
339,SIDM01020,AICA Ribonucleotide,1
340,SIDM00939,AICA Ribonucleotide,1
341,SIDM00932,AICA Ribonucleotide,1
342,SIDM01059,AICA Ribonucleotide,1
343,SIDM00993,AICA Ribonucleotide,1
344,SIDM01047,AICA Ribonucleotide,1
345,SIDM00807,AICA Ribonucleotide,1
346,SIDM01107,AICA Ribonucleotide,1
347,SIDM00380,AICA Ribonucleotide,1
348,SIDM00097,AICA Ribonucleotide,1
349,SIDM01012,AICA Ribonucleotide,1
350,SIDM00980,AICA Ribonucleotide,1
351,SIDM01025,AICA Ribonucleotide,1
352,SIDM00477,AICA Ribonucleotide,1
353,SIDM01064,AKT inhibitor VIII,1
354,SIDM01002,AKT inhibitor VIII,1
355,SIDM00416,AKT inhibitor VIII,1
356,SIDM00980,AKT inhibitor VIII,1
357,SIDM00285,AKT inhibitor VIII,1
358,SIDM00791,AKT inhibitor VIII,1
359,SIDM00330,AKT inhibitor VIII,1
360,SIDM01024,AKT inhibitor VIII,1
361,SIDM00942,AKT inhibitor VIII,1
362,SIDM00946,AKT inhibitor VIII,1
363,SIDM00088,AKT inhibitor VIII,1
364,SIDM00329,AKT inhibitor VIII,1
365,SIDM00637,AKT inhibitor VIII,1
366,SIDM00963,AKT inhibitor VIII,1
367,SIDM00443,AKT inhibitor VIII,1
368,SIDM00345,AKT inhibitor VIII,1
369,SIDM00443,AKT inhibitor VIII,1
370,SIDM00434,AKT inhibitor VIII,1
371,SIDM00671,AKT inhibitor VIII,1
372,SIDM00453,AKT inhibitor VIII,1
373,SIDM00947,AKT inhibitor VIII,1
374,SIDM00828,AKT inhibitor VIII,1
375,SIDM00087,AKT inhibitor VIII,1
376,SIDM01015,AKT inhibitor VIII,1
377,SIDM00939,AKT inhibitor VIII,1
378,SIDM00994,AKT inhibitor VIII,1
379,SIDM01012,AKT inhibitor VIII,1
380,SIDM00964,AKT inhibitor VIII,1
381,SIDM00148,AKT inhibitor VIII,1
382,SIDM01051,AKT inhibitor VIII,1
383,SIDM00429,AKT inhibitor VIII,1
384,SIDM00996,AKT inhibitor VIII,1
385,SIDM00936,AKT inhibitor VIII,1
386,SIDM00994,AKT inhibitor VIII,1
387,SIDM01031,AKT inhibitor VIII,1
388,SIDM01057,AKT inhibitor VIII,1
389,SIDM00394,AKT inhibitor VIII,1
390,SIDM01025,AKT inhibitor VIII,1
391,SIDM00941,AKT inhibitor VIII,1
392,SIDM01060,AKT inhibitor VIII,1
393,SIDM00458,AKT inhibitor VIII,1
394,SIDM00982,AKT inhibitor VIII,1
395,SIDM00423,AKT inhibitor VIII,1
396,SIDM01086,AKT inhibitor VIII,1
397,SIDM00405,AKT inhibitor VIII,1
398,SIDM01082,AKT inhibitor VIII,1
399,SIDM01103,AKT inhibitor VIII,1
400,SIDM00460,AKT inhibitor VIII,1
401,SIDM00420,AKT inhibitor VIII,1
402,SIDM00661,AKT inhibitor VIII,1
403,SIDM00990,AKT inhibitor VIII,1
404,SIDM00943,AKT inhibitor VIII,1
405,SIDM00900,AKT inhibitor VIII,1
406,SIDM00948,AKT inhibitor VIII,1
407,SIDM00951,AKT inhibitor VIII,1
408,SIDM00120,AKT inhibitor VIII,1
409,SIDM00327,AKT inhibitor VIII,1
410,SIDM00907,AKT inhibitor VIII,1
411,SIDM00932,AKT inhibitor VIII,1
412,SIDM01056,AKT inhibitor VIII,1
413,SIDM00450,AKT inhibitor VIII,1
414,SIDM00272,AKT inhibitor VIII,1
415,SIDM00783,AKT inhibitor VIII,1
416,SIDM00942,AKT inhibitor VIII,1
417,SIDM00457,AKT inhibitor VIII,1
418,SIDM00980,AKT inhibitor VIII,1
419,SIDM01020,AKT inhibitor VIII,1
420,SIDM00391,AKT inhibitor VIII,1
421,SIDM01032,AKT inhibitor VIII,1
422,SIDM01034,AKT inhibitor VIII,1
423,SIDM01087,AKT inhibitor VIII,1
424,SIDM00284,AKT inhibitor VIII,1
425,SIDM01042,AKT inhibitor VIII,1
426,SIDM00145,AKT inhibitor VIII,1
427,SIDM00402,AKT inhibitor VIII,1
428,SIDM01027,AKT inhibitor VIII,1
429,SIDM01071,AKT inhibitor VIII,1
430,SIDM01001,AKT inhibitor VIII,1
431,SIDM00395,AKT inhibitor VIII,1
432,SIDM00412,AKT inhibitor VIII,1
433,SIDM00388,AKT inhibitor VIII,1
434,SIDM00954,AKT inhibitor VIII,1
435,SIDM00340,AKT inhibitor VIII,1
436,SIDM00402,AKT inhibitor VIII,1
437,SIDM01019,AKT inhibitor VIII,1
438,SIDM00934,AR-42,1
439,SIDM01032,AR-42,1
440,SIDM00446,AR-42,1
441,SIDM00706,AR-42,1
442,SIDM00420,AR-42,1
443,SIDM00412,AR-42,1
444,SIDM01004,AR-42,1
445,SIDM00947,AR-42,1
446,SIDM00886,AR-42,1
447,SIDM00396,AR-42,1
448,SIDM00413,AR-42,1
449,SIDM00951,AR-42,1
450,SIDM00453,AR-42,1
451,SIDM00810,AR-42,1
452,SIDM00932,AR-42,1
453,SIDM00346,AR-42,1
454,SIDM00406,AR-42,1
455,SIDM00345,AR-42,1
456,SIDM01033,AR-42,1
457,SIDM00438,AR-42,1
458,SIDM00391,AR-42,1
459,SIDM00450,AR-42,1
460,SIDM00343,AR-42,1
461,SIDM00461,AR-42,1
462,SIDM00419,AR-42,1
463,SIDM00874,AR-42,1
464,SIDM00515,AR-42,1
465,SIDM00422,AR-42,1
466,SIDM00388,AR-42,1
467,SIDM00329,AR-42,1
468,SIDM00136,AR-42,1
469,SIDM00448,AR-42,1
470,SIDM00416,AR-42,1
471,SIDM01107,AR-42,1
472,SIDM00512,AR-42,1
473,SIDM00390,AR-42,1
474,SIDM00783,AR-42,1
475,SIDM00424,AR-42,1
476,SIDM00982,AR-42,1
477,SIDM00499,AR-42,1
478,SIDM00931,AR-42,1
479,SIDM00339,AR-42,1
480,SIDM01073,AR-42,1
481,SIDM00423,AR-42,1
482,SIDM00337,AR-42,1
483,SIDM01001,AR-42,1
484,SIDM01131,AR-42,1
485,SIDM00247,AR-42,1
486,SIDM00935,AR-42,1
487,SIDM00441,AR-42,1
488,SIDM00462,AR-42,1
489,SIDM01040,AR-42,1
490,SIDM00433,AR-42,1
491,SIDM00941,AR-42,1
492,SIDM01025,AR-42,1
493,SIDM00949,ARRY-520,1
494,SIDM00950,ARRY-520,1
495,SIDM00148,ARRY-520,1
496,SIDM00458,ARRY-520,1
497,SIDM00946,ARRY-520,1
498,SIDM00987,ARRY-520,1
499,SIDM00332,ARRY-520,1
500,SIDM00120,ARRY-520,1
501,SIDM00431,ARRY-520,1
502,SIDM00785,ARRY-520,1
503,SIDM00499,ARRY-520,1
504,SIDM00334,ARRY-520,1
505,SIDM00929,ARRY-520,1
506,SIDM00402,ARRY-520,1
507,SIDM01018,ARRY-520,1
508,SIDM00146,ARRY-520,1
509,SIDM00935,ARRY-520,1
510,SIDM01087,ARRY-520,1
511,SIDM00940,ARRY-520,1
512,SIDM01179,ARRY-520,1
513,SIDM00446,ARRY-520,1
514,SIDM00417,ARRY-520,1
515,SIDM00810,ARRY-520,1
516,SIDM00412,ARRY-520,1
517,SIDM00455,ARRY-520,1
518,SIDM00339,ARRY-520,1
519,SIDM01064,ARRY-520,1
520,SIDM00404,ARRY-520,1
521,SIDM00942,ARRY-520,1
522,SIDM01067,ARRY-520,1
523,SIDM00395,ARRY-520,1
524,SIDM01058,ARRY-520,1
525,SIDM00413,ARRY-520,1
526,SIDM00671,ARRY-520,1
527,SIDM01172,ARRY-520,1
528,SIDM00429,ARRY-520,1
529,SIDM00963,ARRY-520,1
530,SIDM00394,ARRY-520,1
531,SIDM01009,ARRY-520,1
532,SIDM01072,ARRY-520,1
533,SIDM00419,ARRY-520,1
534,SIDM01056,ARRY-520,1
535,SIDM00958,ARRY-520,1
536,SIDM00953,ARRY-520,1
537,SIDM00896,ARRY-520,1
538,SIDM00990,ARRY-520,1
539,SIDM00632,ARRY-520,1
540,SIDM00877,ARRY-520,1
541,SIDM00981,ARRY-520,1
542,SIDM01068,ARRY-520,1
543,SIDM00941,ARRY-520,1
544,SIDM01055,ARRY-520,1
545,SIDM00986,ARRY-520,1
546,SIDM01110,ARRY-520,1
547,SIDM00448,ARRY-520,1
548,SIDM00335,ARRY-520,1
549,SIDM00424,ARRY-520,1
550,SIDM00434,ARRY-520,1
551,SIDM00810,AS601245,1
552,SIDM00828,AS601245,1
553,SIDM00637,AS601245,1
554,SIDM00962,AS601245,1
555,SIDM00284,AS601245,1
556,SIDM00426,AS601245,1
557,SIDM00335,AS601245,1
558,SIDM01248,AS601245,1
559,SIDM00877,AS601245,1
560,SIDM00997,AS601245,1
561,SIDM00453,AS601245,1
562,SIDM00954,AS601245,1
563,SIDM00392,AS601245,1
564,SIDM00424,AS601245,1
565,SIDM00657,AS601245,1
566,SIDM00121,AS601245,1
567,SIDM00963,AS601245,1
568,SIDM00951,AS601245,1
569,SIDM00403,AS601245,1
570,SIDM00988,AS601245,1
571,SIDM00980,AS601245,1
572,SIDM00312,AS601245,1
573,SIDM00272,AS601245,1
574,SIDM00411,AS601245,1
575,SIDM00939,AS601245,1
576,SIDM01191,AS601245,1
577,SIDM00334,AS601245,1
578,SIDM01131,AS601245,1
579,SIDM01057,AS601245,1
580,SIDM00990,AS601245,1
581,SIDM00936,AS601245,1
582,SIDM00146,AS601245,1
583,SIDM00390,AS601245,1
584,SIDM00340,AS601245,1
585,SIDM00932,AS601245,1
586,SIDM00938,AS601245,1
587,SIDM01002,AS601245,1
588,SIDM00860,AS601245,1
589,SIDM01029,AS601245,1
590,SIDM00993,AS601245,1
591,SIDM00957,AS601245,1
592,SIDM01087,AS601245,1
593,SIDM01179,AS601245,1
594,SIDM01034,AS601245,1
595,SIDM00895,AS601245,1
596,SIDM00416,AS601245,1
597,SIDM00401,AS601245,1
598,SIDM00455,AS601245,1
599,SIDM00346,AS601245,1
600,SIDM01032,AS601245,1
601,SIDM00120,AS601245,1
602,SIDM00942,AS601245,1
603,SIDM00463,AS601245,1
604,SIDM00446,AS601245,1
605,SIDM00632,AS601245,1
606,SIDM00867,AS601245,1
607,SIDM00405,AS601245,1
608,SIDM00477,AS601245,1
609,SIDM01004,AS601245,1
610,SIDM00387,AS601245,1
611,SIDM01071,AS601245,1
612,SIDM00345,AS601245,1
613,SIDM00388,AS601245,1
614,SIDM01066,AS601245,1
615,SIDM00462,AS601245,1
616,SIDM00928,AS601245,1
617,SIDM01060,AS605240,1
618,SIDM01048,AS605240,1
619,SIDM01026,AS605240,1
620,SIDM01062,AS605240,1
621,SIDM00706,AS605240,1
622,SIDM01131,AS605240,1
623,SIDM01031,AS605240,1
624,SIDM00272,AS605240,1
625,SIDM00936,AS605240,1
626,SIDM00391,AS605240,1
627,SIDM00446,AS605240,1
628,SIDM00339,AS605240,1
629,SIDM00929,AS605240,1
630,SIDM00334,AS605240,1
631,SIDM00661,AS605240,1
632,SIDM01056,AS605240,1
633,SIDM00479,AS605240,1
634,SIDM00417,AS605240,1
635,SIDM00453,AS605240,1
636,SIDM01015,AS605240,1
637,SIDM00431,AS605240,1
638,SIDM01179,AS605240,1
639,SIDM01002,AS605240,1
640,SIDM00957,AS605240,1
641,SIDM00423,AS605240,1
642,SIDM00938,AS605240,1
643,SIDM01005,AS605240,1
644,SIDM00421,AS605240,1
645,SIDM00329,AS605240,1
646,SIDM00441,AS605240,1
647,SIDM01076,AS605240,1
648,SIDM00937,AS605240,1
649,SIDM00455,AS605240,1
650,SIDM00953,AS605240,1
651,SIDM00930,AS605240,1
652,SIDM00410,AS605240,1
653,SIDM00935,AS605240,1
654,SIDM00395,AS605240,1
655,SIDM00942,AS605240,1
656,SIDM00641,AS605240,1
657,SIDM01052,AS605240,1
658,SIDM00087,AS605240,1
659,SIDM00785,AS605240,1
660,SIDM01019,AS605240,1
661,SIDM00947,AS605240,1
662,SIDM00308,AS605240,1
663,SIDM00628,AS605240,1
664,SIDM00227,AS605240,1
665,SIDM00426,AS605240,1
666,SIDM00526,AS605240,1
667,SIDM01172,AS605240,1
668,SIDM00999,AS605240,1
669,SIDM00886,AS605240,1
670,SIDM00124,AS605240,1
671,SIDM00828,AS605240,1
672,SIDM00982,AS605240,1
673,SIDM00419,AS605240,1
674,SIDM00944,AST-1306,1
675,SIDM00964,AST-1306,1
676,SIDM00628,AST-1306,1
677,SIDM00339,AST-1306,1
678,SIDM00937,AST-1306,1
679,SIDM01023,AST-1306,1
680,SIDM00337,AST-1306,1
681,SIDM00391,AST-1306,1
682,SIDM00387,AST-1306,1
683,SIDM00146,AST-1306,1
684,SIDM00928,AST-1306,1
685,SIDM01027,AST-1306,1
686,SIDM00951,AST-1306,1
687,SIDM00454,AST-1306,1
688,SIDM00982,AST-1306,1
689,SIDM00989,AST-1306,1
690,SIDM00340,AST-1306,1
691,SIDM00789,AST-1306,1
692,SIDM00419,AST-1306,1
693,SIDM01051,AST-1306,1
694,SIDM00380,AST-1306,1
695,SIDM01068,AST-1306,1
696,SIDM00423,AST-1306,1
697,SIDM00999,AST-1306,1
698,SIDM00997,AST-1306,1
699,SIDM00417,AST-1306,1
700,SIDM00940,AST-1306,1
701,SIDM01047,AST-1306,1
702,SIDM00907,AST-1306,1
703,SIDM00985,AST-1306,1
704,SIDM01019,AST-1306,1
705,SIDM00272,AST-1306,1
706,SIDM01071,AST-1306,1
707,SIDM00289,AST-1306,1
708,SIDM01072,AST-1306,1
709,SIDM00412,AST-1306,1
710,SIDM00420,AST-1306,1
711,SIDM01131,AST-1306,1
712,SIDM00088,AST-1306,1
713,SIDM01048,AST-1306,1
714,SIDM00499,AST-1306,1
715,SIDM00284,AST-1306,1
716,SIDM00443,AST-1306,1
717,SIDM01110,AST-1306,1
718,SIDM01064,AST-1306,1
719,SIDM01062,AST-1306,1
720,SIDM01030,AST-1306,1
721,SIDM01015,AST-1306,1
722,SIDM00895,AST-1306,1
723,SIDM00332,AST-1306,1
724,SIDM01001,AST-1306,1
725,SIDM00287,AST-1306,1
